Feedback,"Drawing the graph can be helpful, but technically one could just go down the edge list and count. Remember to scroll all the way to the right to see all of the edges.",,,
,,,,
,,,,
NewQuestion,O,,,
ID,ElisaDemo_55,,,
Title,Vertex degrees,,,
QuestionText,"In the graph \(G = (V, E)\) where $$V = \{a, b, c, d, e, f, g, h, i, j\}$$ and $$E = \{(d, h), (c, g), (a, c), (g, i), (f, h), (f, g), (b, h), (b, d), (e, f), (d, e), (a, j), (c, e), (c, f), (a, g), (i, j), (e, g) \},$$ sort the following vertices in the descending order of their degree.",,,
Pts,4,,,
Difficulty,3,,,
Scoring,RightMinusWrong,,,
Image,,,,
Item,\(g\),NOT HTML,"The neighborhood of g consist of e i c a f. ",
Item,\(c\),NOT HTML,"The neighborhood of c consist of e g a f. ",
Item,\(a\),NOT HTML,"The neighborhood of a consist of g c j. ",
Item,\(b\),NOT HTML,"The neighborhood of b consist of d h. ",
Hint,The degree of a vertex is the number of neighbors it has.,,,
Feedback,"Drawing the graph can be helpful, but technically one could just go down the edge list and count. Remember to scroll all the way to the right to see all of the edges.",,,
,,,,
,,,,
NewQuestion,O,,,
ID,ElisaDemo_56,,,
Title,Vertex degrees,,,
QuestionText,"In the graph \(G = (V, E)\) where $$V = \{a, b, c, d, e, f, g, h, i, j\}$$ and $$E = \{(d, g), (b, j), (b, f), (a, c), (f, h), (b, d), (a, f), (b, h), (b, g), (b, i), (d, j), (e, f), (c, j), (c, e), (a, d) \},$$ sort the following vertices in the descending order of their degree.",,,
Pts,4,,,
Difficulty,3,,,
Scoring,RightMinusWrong,,,
Image,,,,
Item,\(b\),NOT HTML,"The neighborhood of b consist of i h g f j d. ",
Item,\(d\),NOT HTML,"The neighborhood of d consist of g b a j. ",
Item,\(a\),NOT HTML,"The neighborhood of a consist of f c d. ",
Item,\(i\),NOT HTML,"The neighborhood of i consist of b. ",
Hint,The degree of a vertex is the number of neighbors it has.,,,
Feedback,"Drawing the graph can be helpful, but technically one could just go down the edge list and count. Remember to scroll all the way to the right to see all of the edges.",,,
,,,,
,,,,
NewQuestion,O,,,
ID,ElisaDemo_57,,,
Title,Vertex degrees,,,
QuestionText,"In the graph \(G = (V, E)\) where $$V = \{a, b, c, d, e, f, g, h\}$$ and $$E = \{(d, h), (b, f), (a, c), (f, g), (f, h), (a, e), (a, f), (b, d), (b, g), (b, h), (d, f), (a, d) \},$$ sort the following vertices in the descending order of their degree.",,,
Pts,4,,,
Difficulty,3,,,
Scoring,RightMinusWrong,,,
Image,,,,
Item,\(f\),NOT HTML,"The neighborhood of f consist of h g a b d. ",
Item,\(h\),NOT HTML,"The neighborhood of h consist of b f d. ",
Item,\(g\),NOT HTML,"The neighborhood of g consist of b f. ",
Item,\(c\),NOT HTML,"The neighborhood of c consist of a. ",
Hint,The degree of a vertex is the number of neighbors it has.,,,
Feedback,"Drawing the graph can be helpful, but technically one could just go down the edge list and count. Remember to scroll all the way to the right to see all of the edges.",,,
,,,,
,,,,
NewQuestion,O,,,
ID,ElisaDemo_58,,,
Title,Vertex degrees,,,
QuestionText,"In the graph \(G = (V, E)\) where $$V = \{a, b, c, d, e, f, g, h\}$$ and $$E = \{(d, h), (d, g), (b, e), (b, f), (c, g), (f, g), (b, h), (b, d), (e, f), (d, e), (c, e), (c, f), (a, g), (e, g) \},$$ sort the following vertices in the descending order of their degree.",,,
Pts,4,,,
Difficulty,3,,,
Scoring,RightMinusWrong,,,
Image,,,,
Item,\(e\),NOT HTML,"The neighborhood of e consist of g c f b d. ",
Item,\(b\),NOT HTML,"The neighborhood of b consist of e d f h. ",
Item,\(c\),NOT HTML,"The neighborhood of c consist of g e f. ",
Item,\(h\),NOT HTML,"The neighborhood of h consist of b d. ",
Hint,The degree of a vertex is the number of neighbors it has.,,,
Feedback,"Drawing the graph can be helpful, but technically one could just go down the edge list and count. Remember to scroll all the way to the right to see all of the edges.",,,
,,,,
,,,,
NewQuestion,O,,,
ID,ElisaDemo_59,,,
Title,Vertex degrees,,,
QuestionText,"In the graph \(G = (V, E)\) where $$V = \{a, b, c, d, e, f, g\}$$ and $$E = \{(b, f), (c, d), (c, g), (f, g), (a, e), (b, g), (e, f), (b, c), (c, e), (c, f), (a, b) \},$$ sort the following vertices in the descending order of their degree.",,,
Pts,4,,,
Difficulty,3,,,
Scoring,RightMinusWrong,,,
Image,,,,
Item,\(c\),NOT HTML,"The neighborhood of c consist of e g f b d. ",
Item,\(b\),NOT HTML,"The neighborhood of b consist of f g a c. ",
Item,\(a\),NOT HTML,"The neighborhood of a consist of b e. ",
Item,\(d\),NOT HTML,"The neighborhood of d consist of c. ",
Hint,The degree of a vertex is the number of neighbors it has.,,,
Feedback,"Drawing the graph can be helpful, but technically one could just go down the edge list and count. Remember to scroll all the way to the right to see all of the edges.",,,
,,,,
,,,,
NewQuestion,O,,,
ID,ElisaDemo_60,,,
Title,Vertex degrees,,,
QuestionText,"In the graph \(G = (V, E)\) where $$V = \{a, b, c, d, e, f, g, h, i, j\}$$ and $$E = \{(b, j), (e, i), (a, h), (e, g), (c, g), (a, c), (g, i), (f, g), (b, g), (b, d), (d, e), (d, f), (c, j), (c, f), (e, h), (f, j) \},$$ sort the following vertices in the descending order of their degree.",,,
Pts,4,,,
Difficulty,3,,,
Scoring,RightMinusWrong,,,
Image,,,,
Item,\(g\),NOT HTML,"The neighborhood of g consist of e i c f b. ",
Item,\(c\),NOT HTML,"The neighborhood of c consist of g a f j. ",
Item,\(b\),NOT HTML,"The neighborhood of b consist of j g d. ",
Item,\(a\),NOT HTML,"The neighborhood of a consist of c h. ",
Hint,The degree of a vertex is the number of neighbors it has.,,,
Feedback,"Drawing the graph can be helpful, but technically one could just go down the edge list and count. Remember to scroll all the way to the right to see all of the edges.",,,
,,,,
,,,,
NewQuestion,O,,,
ID,ElisaDemo_61,,,
Title,Vertex degrees,,,
QuestionText,"In the graph \(G = (V, E)\) where $$V = \{a, b, c, d, e, f, g, h, i, j\}$$ and $$E = \{(b, e), (b, f), (e, g), (c, h), (c, i), (g, i), (b, h), (a, f), (b, d), (f, i), (d, e), (d, f), (b, c), (h, i), (c, f), (e, h) \},$$ sort the following vertices in the descending order of their degree.",,,
Pts,4,,,
Difficulty,3,,,
Scoring,RightMinusWrong,,,
Image,,,,
Item,\(b\),NOT HTML,"The neighborhood of b consist of e h c f d. ",
Item,\(d\),NOT HTML,"The neighborhood of d consist of e b f. ",
Item,\(g\),NOT HTML,"The neighborhood of g consist of e i. ",
Item,\(j\),NOT HTML,"The neighborhood of j consist of . ",
Hint,The degree of a vertex is the number of neighbors it has.,,,
Feedback,"Drawing the graph can be helpful, but technically one could just go down the edge list and count. Remember to scroll all the way to the right to see all of the edges.",,,
,,,,
,,,,
