Hint,One way to work this out would be converting all the values into the same base. Two and ten are often convenient options.,,,
Feedback,Try to avoid memorizing conversion tricks. It is more fruitful to develop a conceptual understanding of the meaning of digits and their positions within a number.,,,
,,,,
,,,,
NewQuestion,M,,,
ID,ElisaDemo_26,,,
Title,Integer bases,,,
QuestionText,Match integer representations that correspond to the same numerical value.,,,
Pts,4,,,
Difficulty,2,,,
Image,,,,
Scoring,EquallyWeighted,,,
Choice,1,\( 404_{8} \),,
Match,1,\( 104_{16} \),,
Choice,2,\( 2b_{16}\),,
Match,2,\( 43_{10} \),,
Choice,3,\( 61_{8} \),,
Match,3,\( 110001_{2} \),,
Choice,4,\( 147_{10} \),,
Match,4,\( 403_{6} \),,
Hint,One way to work this out would be converting all the values into the same base. Two and ten are often convenient options.,,,
Feedback,Try to avoid memorizing conversion tricks. It is more fruitful to develop a conceptual understanding of the meaning of digits and their positions within a number.,,,
,,,,
,,,,
NewQuestion,M,,,
ID,ElisaDemo_27,,,
Title,Integer bases,,,
QuestionText,Match integer representations that correspond to the same numerical value.,,,
Pts,4,,,
Difficulty,2,,,
Image,,,,
Scoring,EquallyWeighted,,,
Choice,1,\( 89_{10} \),,
Match,1,\( 59_{16}\),,
Choice,2,\( 31_{8} \),,
Match,2,\( 11001_{2} \),,
Choice,3,\( 227_{8} \),,
Match,3,\( 97_{16} \),,
Choice,4,\( 265_{8} \),,
Match,4,\( 181_{10} \),,
Hint,One way to work this out would be converting all the values into the same base. Two and ten are often convenient options.,,,
Feedback,Try to avoid memorizing conversion tricks. It is more fruitful to develop a conceptual understanding of the meaning of digits and their positions within a number.,,,
,,,,
,,,,
NewQuestion,M,,,
ID,ElisaDemo_28,,,
Title,Integer bases,,,
QuestionText,Match integer representations that correspond to the same numerical value.,,,
Pts,4,,,
Difficulty,2,,,
Image,,,,
Scoring,EquallyWeighted,,,
Choice,1,\( 43_{16} \),,
Match,1,\( 103_{8} \),,
Choice,2,\( 11111_{2} \),,
Match,2,\( 31_{10} \),,
Choice,3,\( 1100011_{2} \),,
Match,3,\( 143_{8} \),,
Choice,4,\( fag_{18}\),,
Match,4,\( 5056_{10} \),,
Hint,One way to work this out would be converting all the values into the same base. Two and ten are often convenient options.,,,
Feedback,Try to avoid memorizing conversion tricks. It is more fruitful to develop a conceptual understanding of the meaning of digits and their positions within a number.,,,
,,,,
,,,,
NewQuestion,M,,,
ID,ElisaDemo_29,,,
Title,Integer bases,,,
QuestionText,Match integer representations that correspond to the same numerical value.,,,
Pts,4,,,
Difficulty,2,,,
Image,,,,
Scoring,EquallyWeighted,,,
Choice,1,\( 421_{8} \),,
Match,1,\( 111_{16} \),,
Choice,2,\( 3884_{10} \),,
Match,2,\( d78_{17}\),,
Choice,3,\( 10110_{2} \),,
Match,3,\( 26_{8} \),,
Choice,4,\( 145_{10} \),,
Match,4,\( 221_{8} \),,
Hint,One way to work this out would be converting all the values into the same base. Two and ten are often convenient options.,,,
Feedback,Try to avoid memorizing conversion tricks. It is more fruitful to develop a conceptual understanding of the meaning of digits and their positions within a number.,,,
,,,,
,,,,
NewQuestion,M,,,
ID,ElisaDemo_30,,,
Title,Integer bases,,,
QuestionText,Match integer representations that correspond to the same numerical value.,,,
Pts,4,,,
Difficulty,2,,,
Image,,,,
Scoring,EquallyWeighted,,,
Choice,1,\( 1001111_{2} \),,
Match,1,\( 117_{8} \),,
Choice,2,\( dc_{16} \),,
Match,2,\( 334_{8} \),,
Choice,3,\( 03161_{7} \),,
Match,3,\( 1121_{10} \),,
Choice,4,\( dceg_{19}\),,
Match,4,\( 93781_{10} \),,
Hint,One way to work this out would be converting all the values into the same base. Two and ten are often convenient options.,,,
Feedback,Try to avoid memorizing conversion tricks. It is more fruitful to develop a conceptual understanding of the meaning of digits and their positions within a number.,,,
,,,,
,,,,
NewQuestion,M,,,
ID,ElisaDemo_31,,,
Title,Integer bases,,,
QuestionText,Match integer representations that correspond to the same numerical value.,,,
Pts,4,,,
Difficulty,2,,,
Image,,,,
Scoring,EquallyWeighted,,,
Choice,1,\( 436_{8} \),,
Match,1,\( 11e_{16} \),,
Choice,2,\( 0efb_{16}\),,
Match,2,\( 3835_{10} \),,
Choice,3,\( 1010110_{2} \),,
Match,3,\( 126_{8} \),,
Choice,4,\( 625_{8} \),,
Match,4,\( 405_{10} \),,
Hint,One way to work this out would be converting all the values into the same base. Two and ten are often convenient options.,,,
Feedback,Try to avoid memorizing conversion tricks. It is more fruitful to develop a conceptual understanding of the meaning of digits and their positions within a number.,,,
,,,,
,,,,
